n,deck,owner,date
1,Zouloux,Zouloux,25/06/2021
2,Xari,Xari,25/06/2021
3,Soey,Soey,25/06/2021
4,QC,QC,25/06/2021
5,Adias,Adias,25/06/2021
6,Rage,Rage,25/06/2021
